,iteration,P_i,C_j
174,1,25,3
175,1,26,3
176,1,27,1
177,1,28,1
178,1,29,3
179,1,30,1
180,1,31,3
181,1,32,1
182,1,33,3
183,1,34,3
184,1,35,1
185,1,36,3
186,1,37,1
187,1,38,3
188,1,39,3
189,1,40,1
190,1,41,3
191,1,42,1
192,1,43,1
193,1,44,3
194,1,45,3
195,1,46,3
196,1,47,3
197,1,48,1
198,1,49,3
199,1,50,3
200,1,51,2
201,1,52,2
202,1,53,2
203,1,54,3
204,1,55,2
205,1,56,2
206,1,57,2
207,1,58,3
208,1,59,2
209,1,60,3
210,1,61,3
211,1,62,3
212,1,63,3
213,1,64,2
214,1,65,1
215,1,66,1
216,1,67,2
217,1,68,3
218,1,69,2
219,1,70,3
220,1,71,2
221,1,72,3
222,1,73,2
223,1,74,2
224,1,75,3
225,1,76,2
226,1,77,2
227,1,78,2
228,1,79,2
229,1,80,3
230,1,81,3
231,1,82,3
232,1,83,3
233,1,84,2
234,1,85,1
235,1,86,2
236,1,87,2
237,1,88,1
238,1,89,3
239,1,90,3
240,1,91,1
241,1,92,2
242,1,93,3
243,1,94,3
244,1,95,3
245,1,96,3
246,1,97,3
247,1,98,3
248,1,99,3
249,1,100,3
250,1,101,2
251,1,102,2
252,1,103,2
253,1,104,2
254,1,105,2
255,1,106,2
256,1,107,1
257,1,108,2
258,1,109,2
259,1,110,2
260,1,111,2
261,1,112,2
262,1,113,2
263,1,114,1
264,1,115,2
265,1,116,2
266,1,117,2
267,1,118,2
268,1,119,2
269,1,120,2
270,1,121,2
271,1,122,1
272,1,123,2
273,1,124,2
274,1,125,2
275,1,126,2
276,1,127,2
277,1,128,2
278,1,129,2
279,1,130,2
280,1,131,2
281,1,132,2
282,1,133,2
283,1,134,2
284,1,135,2
285,1,136,2
286,1,137,2
287,1,138,2
288,1,139,2
289,1,140,2
290,1,141,2
291,1,142,2
292,1,143,2
293,1,144,2
294,1,145,2
295,1,146,2
296,1,147,2
297,1,148,2
298,1,149,2
299,1,150,2
300,2,1,3
301,2,2,3
302,2,3,3
303,2,4,3
304,2,5,1
305,2,6,1
306,2,7,1
307,2,8,3
308,2,9,3
309,2,10,3
310,2,11,1
311,2,12,3
312,2,13,3
313,2,14,1
314,2,15,3
315,2,16,3
316,2,17,1
317,2,18,1
318,2,19,3
319,2,20,3
320,2,21,3
321,2,22,3
322,2,23,3
323,2,24,3
324,2,25,3
325,2,26,3
326,2,27,1
327,2,28,1
328,2,29,3
329,2,30,1
330,2,31,3
331,2,32,1
332,2,33,3
333,2,34,3
334,2,35,1
335,2,36,3
336,2,37,1
337,2,38,3
338,2,39,3
339,2,40,1
340,2,41,3
341,2,42,1
342,2,43,1
343,2,44,3
344,2,45,3
345,2,46,3
346,2,47,3
347,2,48,1
348,2,49,3
349,2,50,3
350,2,51,2
351,2,52,2
352,2,53,2
353,2,54,3
354,2,55,2
355,2,56,2
356,2,57,2
357,2,58,3
358,2,59,2
359,2,60,3
360,2,61,3
361,2,62,3
362,2,63,3
363,2,64,2
364,2,65,1
365,2,66,1
366,2,67,2
367,2,68,3
368,2,69,2
369,2,70,3
370,2,71,2
371,2,72,3
372,2,73,2
373,2,74,2
374,2,75,3
375,2,76,2
376,2,77,2
377,2,78,2
378,2,79,2
379,2,80,3
380,2,81,3
381,2,82,3
382,2,83,3
383,2,84,2
384,2,85,1
385,2,86,2
386,2,87,2
387,2,88,1
388,2,89,3
389,2,90,3
390,2,91,1
391,2,92,2
392,2,93,3
393,2,94,3
394,2,95,3
395,2,96,3
396,2,97,3
397,2,98,3
398,2,99,3
399,2,100,3
400,2,101,2
401,2,102,2
402,2,103,2
403,2,104,2
404,2,105,2
405,2,106,2
406,2,107,1
407,2,108,2
408,2,109,2
409,2,110,2
410,2,111,2
411,2,112,2
412,2,113,2
413,2,114,1
414,2,115,2
415,2,116,2
416,2,117,2
417,2,118,2
418,2,119,2
419,2,120,2
420,2,121,2
421,2,122,1
422,2,123,2
423,2,124,2
424,2,125,2
425,2,126,2
426,2,127,2
427,2,128,2
428,2,129,2
429,2,130,2
430,2,131,2
431,2,132,2
432,2,133,2
433,2,134,2
434,2,135,2
435,2,136,2
436,2,137,2
437,2,138,2
438,2,139,2
439,2,140,2
440,2,141,2
441,2,142,2
442,2,143,2
443,2,144,2
444,2,145,2
445,2,146,2
446,2,147,2
447,2,148,2
448,2,149,2
449,2,150,2
450,3,1,1
451,3,2,3
452,3,3,1
453,3,4,1
454,3,5,1
455,3,6,1
456,3,7,1
457,3,8,1
458,3,9,3
459,3,10,1
460,3,11,1
461,3,12,1
462,3,13,3
463,3,14,3
464,3,15,1
465,3,16,1
466,3,17,1
467,3,18,1
468,3,19,1
469,3,20,1
470,3,21,1
471,3,22,1
472,3,23,1
473,3,24,3
474,3,25,3
475,3,26,3
476,3,27,3
477,3,28,1
478,3,29,1
479,3,30,1
480,3,31,3
481,3,32,1
482,3,33,1
483,3,34,1
484,3,35,1
485,3,36,1
486,3,37,1
487,3,38,1
488,3,39,3
489,3,40,1
490,3,41,1
491,3,42,3
492,3,43,1
493,3,44,3
494,3,45,3
495,3,46,3
496,3,47,1
497,3,48,1
498,3,49,1
499,3,50,1
500,3,51,2
501,3,52,2
502,3,53,2
503,3,54,2
504,3,55,2
505,3,56,2
506,3,57,2
507,3,58,3
508,3,59,2
509,3,60,2
510,3,61,3
511,3,62,2
512,3,63,2
513,3,64,2
514,3,65,2
515,3,66,2
516,3,67,2
517,3,68,2
518,3,69,2
519,3,70,2
520,3,71,2
521,3,72,2
522,3,73,2
523,3,74,2
524,3,75,2
525,3,76,2
526,3,77,2
527,3,78,2
528,3,79,2
529,3,80,3
530,3,81,2
531,3,82,3
532,3,83,2
533,3,84,2
534,3,85,2
535,3,86,2
536,3,87,2
537,3,88,2
538,3,89,2
539,3,90,2
540,3,91,2
541,3,92,2
542,3,93,2
543,3,94,3
544,3,95,2
545,3,96,2
546,3,97,2
547,3,98,2
548,3,99,3
549,3,100,2
550,3,101,2
551,3,102,2
552,3,103,2
553,3,104,2
554,3,105,2
555,3,106,2
556,3,107,2
557,3,108,2
558,3,109,2
559,3,110,2
560,3,111,2
561,3,112,2
562,3,113,2
563,3,114,2
564,3,115,2
565,3,116,2
566,3,117,2
567,3,118,2
568,3,119,2
569,3,120,2
570,3,121,2
571,3,122,2
572,3,123,2
573,3,124,2
574,3,125,2
575,3,126,2
576,3,127,2
577,3,128,2
578,3,129,2
579,3,130,2
580,3,131,2
581,3,132,2
582,3,133,2
583,3,134,2
584,3,135,2
585,3,136,2
586,3,137,2
587,3,138,2
588,3,139,2
589,3,140,2
590,3,141,2
591,3,142,2
592,3,143,2
593,3,144,2
594,3,145,2
595,3,146,2
596,3,147,2
597,3,148,2
598,3,149,2
599,3,150,2
600,4,1,1
601,4,2,3
602,4,3,1
603,4,4,1
604,4,5,1
605,4,6,1
606,4,7,1
607,4,8,1
608,4,9,3
609,4,10,1
610,4,11,1
611,4,12,1
612,4,13,3
613,4,14,3
614,4,15,1
615,4,16,1
616,4,17,1
617,4,18,1
618,4,19,1
619,4,20,1
620,4,21,1
621,4,22,1
622,4,23,1
623,4,24,3
624,4,25,3
625,4,26,3
626,4,27,3
627,4,28,1
628,4,29,1
629,4,30,1
630,4,31,3
631,4,32,1
632,4,33,1
633,4,34,1
634,4,35,1
635,4,36,1
636,4,37,1
637,4,38,1
638,4,39,3
639,4,40,1
640,4,41,1
641,4,42,3
642,4,43,1
643,4,44,3
644,4,45,3
645,4,46,3
646,4,47,1
647,4,48,1
648,4,49,1
649,4,50,1
650,4,51,2
651,4,52,2
652,4,53,2
653,4,54,2
654,4,55,2
655,4,56,2
656,4,57,2
657,4,58,3
658,4,59,2
659,4,60,2
660,4,61,3
661,4,62,2
662,4,63,2
663,4,64,2
664,4,65,2
665,4,66,2
666,4,67,2
667,4,68,2
668,4,69,2
669,4,70,2
670,4,71,2
671,4,72,2
672,4,73,2
673,4,74,2
674,4,75,2
675,4,76,2
676,4,77,2
677,4,78,2
678,4,79,2
679,4,80,3
680,4,81,2
681,4,82,3
682,4,83,2
683,4,84,2
684,4,85,2
685,4,86,2
686,4,87,2
687,4,88,2
688,4,89,2
689,4,90,2
690,4,91,2
691,4,92,2
692,4,93,2
693,4,94,3
694,4,95,2
695,4,96,2
696,4,97,2
697,4,98,2
698,4,99,3
699,4,100,2
700,4,101,2
701,4,102,2
702,4,103,2
703,4,104,2
704,4,105,2
705,4,106,2
706,4,107,2
707,4,108,2
708,4,109,2
709,4,110,2
710,4,111,2
711,4,112,2
712,4,113,2
713,4,114,2
714,4,115,2
715,4,116,2
716,4,117,2
717,4,118,2
718,4,119,2
719,4,120,2
720,4,121,2
721,4,122,2
722,4,123,2
723,4,124,2
724,4,125,2
725,4,126,2
726,4,127,2
727,4,128,2
728,4,129,2
729,4,130,2
730,4,131,2
731,4,132,2
732,4,133,2
733,4,134,2
734,4,135,2
735,4,136,2
736,4,137,2
737,4,138,2
738,4,139,2
739,4,140,2
740,4,141,2
741,4,142,2
742,4,143,2
743,4,144,2
744,4,145,2
745,4,146,2
746,4,147,2
747,4,148,2
748,4,149,2
749,4,150,2
750,5,1,1
751,5,2,3
752,5,3,1
753,5,4,3
754,5,5,1
755,5,6,1
756,5,7,1
757,5,8,1
758,5,9,3
759,5,10,3
760,5,11,1
761,5,12,1
762,5,13,3
763,5,14,3
764,5,15,1
765,5,16,1
766,5,17,1
767,5,18,1
768,5,19,1
769,5,20,1
770,5,21,1
771,5,22,1
772,5,23,1
773,5,24,3
774,5,25,1
775,5,26,3
776,5,27,3
777,5,28,1
778,5,29,1
779,5,30,3
780,5,31,3
781,5,32,1
782,5,33,1
783,5,34,1
784,5,35,3
785,5,36,1
786,5,37,1
787,5,38,3
788,5,39,3
789,5,40,1
790,5,41,1
791,5,42,3
792,5,43,1
793,5,44,1
794,5,45,1
795,5,46,3
796,5,47,1
797,5,48,1
798,5,49,1
799,5,50,1
800,5,51,2
801,5,52,2
802,5,53,2
803,5,54,2
804,5,55,2
805,5,56,2
806,5,57,2
807,5,58,3
808,5,59,2
809,5,60,2
810,5,61,3
811,5,62,2
812,5,63,2
813,5,64,2
814,5,65,2
815,5,66,2
816,5,67,2
817,5,68,2
818,5,69,2
819,5,70,2
820,5,71,2
821,5,72,2
822,5,73,2
823,5,74,2
824,5,75,2
825,5,76,2
826,5,77,2
827,5,78,2
828,5,79,2
829,5,80,2
830,5,81,2
831,5,82,2
832,5,83,2
833,5,84,2
834,5,85,2
835,5,86,2
836,5,87,2
837,5,88,2
838,5,89,2
839,5,90,2
840,5,91,2
841,5,92,2
842,5,93,2
843,5,94,3
844,5,95,2
845,5,96,2
846,5,97,2
847,5,98,2
848,5,99,3
849,5,100,2
850,5,101,2
851,5,102,2
852,5,103,2
853,5,104,2
854,5,105,2
855,5,106,2
856,5,107,2
857,5,108,2
858,5,109,2
859,5,110,2
860,5,111,2
861,5,112,2
862,5,113,2
863,5,114,2
864,5,115,2
865,5,116,2
866,5,117,2
867,5,118,2
868,5,119,2
869,5,120,2
870,5,121,2
871,5,122,2
872,5,123,2
873,5,124,2
874,5,125,2
875,5,126,2
876,5,127,2
877,5,128,2
878,5,129,2
879,5,130,2
880,5,131,2
881,5,132,2
882,5,133,2
883,5,134,2
884,5,135,2
885,5,136,2
886,5,137,2
887,5,138,2
888,5,139,2
889,5,140,2
890,5,141,2
891,5,142,2
892,5,143,2
893,5,144,2
894,5,145,2
895,5,146,2
896,5,147,2
897,5,148,2
898,5,149,2
899,5,150,2
900,6,1,1
901,6,2,3
902,6,3,1
903,6,4,3
904,6,5,1
905,6,6,1
906,6,7,1
907,6,8,1
908,6,9,3
909,6,10,3
910,6,11,1
911,6,12,1
912,6,13,3
913,6,14,3
914,6,15,1
915,6,16,1
916,6,17,1
917,6,18,1
918,6,19,1
919,6,20,1
920,6,21,1
921,6,22,1
922,6,23,1
923,6,24,3
924,6,25,1
925,6,26,3
926,6,27,3
927,6,28,1
928,6,29,1
929,6,30,3
930,6,31,3
931,6,32,1
932,6,33,1
933,6,34,1
934,6,35,3
935,6,36,1
936,6,37,1
937,6,38,3
938,6,39,3
939,6,40,1
940,6,41,1
941,6,42,3
942,6,43,1
943,6,44,1
944,6,45,1
945,6,46,3
946,6,47,1
947,6,48,1
948,6,49,1
949,6,50,1
950,6,51,2
951,6,52,2
952,6,53,2
953,6,54,2
954,6,55,2
955,6,56,2
956,6,57,2
957,6,58,3
958,6,59,2
959,6,60,2
960,6,61,3
961,6,62,2
962,6,63,2
963,6,64,2
964,6,65,2
965,6,66,2
966,6,67,2
967,6,68,2
968,6,69,2
969,6,70,2
970,6,71,2
971,6,72,2
972,6,73,2
973,6,74,2
974,6,75,2
975,6,76,2
976,6,77,2
977,6,78,2
978,6,79,2
979,6,80,2
980,6,81,2
981,6,82,2
982,6,83,2
983,6,84,2
984,6,85,2
985,6,86,2
986,6,87,2
987,6,88,2
988,6,89,2
989,6,90,2
990,6,91,2
991,6,92,2
992,6,93,2
993,6,94,3
994,6,95,2
995,6,96,2
996,6,97,2
997,6,98,2
998,6,99,3
999,6,100,2
1000,6,101,2
1001,6,102,2
1002,6,103,2
1003,6,104,2
1004,6,105,2
1005,6,106,2
1006,6,107,2
1007,6,108,2
1008,6,109,2
1009,6,110,2
1010,6,111,2
1011,6,112,2
1012,6,113,2
1013,6,114,2
1014,6,115,2
1015,6,116,2
1016,6,117,2
1017,6,118,2
1018,6,119,2
1019,6,120,2
1020,6,121,2
1021,6,122,2
1022,6,123,2
1023,6,124,2
1024,6,125,2
1025,6,126,2
1026,6,127,2
1027,6,128,2
1028,6,129,2
1029,6,130,2
1030,6,131,2
1031,6,132,2
1032,6,133,2
1033,6,134,2
1034,6,135,2
1035,6,136,2
1036,6,137,2
1037,6,138,2
1038,6,139,2
1039,6,140,2
1040,6,141,2
1041,6,142,2
1042,6,143,2
1043,6,144,2
1044,6,145,2
1045,6,146,2
1046,6,147,2
1047,6,148,2
1048,6,149,2
1049,6,150,2
1050,7,1,1
1051,7,2,3
1052,7,3,3
1053,7,4,3
1054,7,5,1
1055,7,6,1
1056,7,7,1
1057,7,8,1
1058,7,9,3
1059,7,10,3
1060,7,11,1
1061,7,12,1
1062,7,13,3
1063,7,14,3
1064,7,15,1
1065,7,16,1
1066,7,17,1
1067,7,18,1
1068,7,19,1
1069,7,20,1
1070,7,21,1
1071,7,22,1
1072,7,23,1
1073,7,24,1
1074,7,25,1
1075,7,26,3
1076,7,27,1
1077,7,28,1
1078,7,29,1
1079,7,30,3
1080,7,31,3
1081,7,32,1
1082,7,33,1
1083,7,34,1
1084,7,35,3
1085,7,36,3
1086,7,37,1
1087,7,38,3
1088,7,39,3
1089,7,40,1
1090,7,41,1
1091,7,42,3
1092,7,43,3
1093,7,44,1
1094,7,45,1
1095,7,46,3
1096,7,47,1
1097,7,48,3
1098,7,49,1
1099,7,50,1
1100,7,51,2
1101,7,52,2
1102,7,53,2
1103,7,54,2
1104,7,55,2
1105,7,56,2
1106,7,57,2
1107,7,58,3
1108,7,59,2
1109,7,60,2
1110,7,61,3
1111,7,62,2
1112,7,63,2
1113,7,64,2
1114,7,65,2
1115,7,66,2
1116,7,67,2
1117,7,68,2
1118,7,69,2
1119,7,70,2
1120,7,71,2
1121,7,72,2
1122,7,73,2
1123,7,74,2
1124,7,75,2
1125,7,76,2
1126,7,77,2
1127,7,78,2
1128,7,79,2
1129,7,80,2
1130,7,81,2
1131,7,82,2
1132,7,83,2
1133,7,84,2
1134,7,85,2
1135,7,86,2
1136,7,87,2
1137,7,88,2
1138,7,89,2
1139,7,90,2
1140,7,91,2
1141,7,92,2
1142,7,93,2
1143,7,94,3
1144,7,95,2
1145,7,96,2
1146,7,97,2
1147,7,98,2
1148,7,99,3
1149,7,100,2
1150,7,101,2
1151,7,102,2
1152,7,103,2
1153,7,104,2
1154,7,105,2
1155,7,106,2
1156,7,107,2
1157,7,108,2
1158,7,109,2
1159,7,110,2
1160,7,111,2
1161,7,112,2
1162,7,113,2
1163,7,114,2
1164,7,115,2
1165,7,116,2
1166,7,117,2
1167,7,118,2
1168,7,119,2
1169,7,120,2
1170,7,121,2
1171,7,122,2
1172,7,123,2
1173,7,124,2
1174,7,125,2
1175,7,126,2
1176,7,127,2
1177,7,128,2
1178,7,129,2
1179,7,130,2
1180,7,131,2
1181,7,132,2
1182,7,133,2
1183,7,134,2
1184,7,135,2
1185,7,136,2
1186,7,137,2
1187,7,138,2
1188,7,139,2
1189,7,140,2
1190,7,141,2
1191,7,142,2
1192,7,143,2
1193,7,144,2
1194,7,145,2
1195,7,146,2
1196,7,147,2
1197,7,148,2
1198,7,149,2
1199,7,150,2
1200,8,1,1
1201,8,2,3
1202,8,3,3
1203,8,4,3
1204,8,5,1
1205,8,6,1
1206,8,7,1
1207,8,8,1
1208,8,9,3
1209,8,10,3
1210,8,11,1
1211,8,12,1
1212,8,13,3
1213,8,14,3
1214,8,15,1
1215,8,16,1
1216,8,17,1
1217,8,18,1
1218,8,19,1
1219,8,20,1
1220,8,21,1
1221,8,22,1
1222,8,23,1
1223,8,24,1
1224,8,25,1
1225,8,26,3
1226,8,27,1
1227,8,28,1
1228,8,29,1
1229,8,30,3
1230,8,31,3
1231,8,32,1
1232,8,33,1
1233,8,34,1
1234,8,35,3
1235,8,36,3
1236,8,37,1
1237,8,38,3
1238,8,39,3
1239,8,40,1
1240,8,41,1
1241,8,42,3
1242,8,43,3
1243,8,44,1
1244,8,45,1
1245,8,46,3
1246,8,47,1
1247,8,48,3
1248,8,49,1
1249,8,50,1
1250,8,51,2
1251,8,52,2
1252,8,53,2
1253,8,54,2
1254,8,55,2
1255,8,56,2
1256,8,57,2
1257,8,58,3
1258,8,59,2
1259,8,60,2
1260,8,61,3
1261,8,62,2
1262,8,63,2
1263,8,64,2
1264,8,65,2
1265,8,66,2
1266,8,67,2
1267,8,68,2
1268,8,69,2
1269,8,70,2
1270,8,71,2
1271,8,72,2
1272,8,73,2
1273,8,74,2
1274,8,75,2
1275,8,76,2
1276,8,77,2
1277,8,78,2
1278,8,79,2
1279,8,80,2
1280,8,81,2
1281,8,82,2
1282,8,83,2
1283,8,84,2
1284,8,85,2
1285,8,86,2
1286,8,87,2
1287,8,88,2
1288,8,89,2
1289,8,90,2
1290,8,91,2
1291,8,92,2
1292,8,93,2
1293,8,94,3
1294,8,95,2
1295,8,96,2
1296,8,97,2
1297,8,98,2
1298,8,99,3
1299,8,100,2
1300,8,101,2
1301,8,102,2
1302,8,103,2
1303,8,104,2
1304,8,105,2
1305,8,106,2
1306,8,107,2
1307,8,108,2
1308,8,109,2
1309,8,110,2
1310,8,111,2
1311,8,112,2
1312,8,113,2
1313,8,114,2
1314,8,115,2
1315,8,116,2
1316,8,117,2
1317,8,118,2
1318,8,119,2
1319,8,120,2
1320,8,121,2
1321,8,122,2
1322,8,123,2
1323,8,124,2
1324,8,125,2
1325,8,126,2
1326,8,127,2
1327,8,128,2
1328,8,129,2
1329,8,130,2
1330,8,131,2
1331,8,132,2
1332,8,133,2
1333,8,134,2
1334,8,135,2
1335,8,136,2
1336,8,137,2
1337,8,138,2
1338,8,139,2
1339,8,140,2
1340,8,141,2
1341,8,142,2
1342,8,143,2
1343,8,144,2
1344,8,145,2
1345,8,146,2
1346,8,147,2
1347,8,148,2
1348,8,149,2
1349,8,150,2
1350,9,1,1
1351,9,2,3
1352,9,3,3
1353,9,4,3
1354,9,5,1
1355,9,6,1
1356,9,7,3
1357,9,8,1
1358,9,9,3
1359,9,10,3
1360,9,11,1
1361,9,12,1
1362,9,13,3
1363,9,14,3
1364,9,15,1
1365,9,16,1
1366,9,17,1
1367,9,18,1
1368,9,19,1
1369,9,20,1
1370,9,21,1
1371,9,22,1
1372,9,23,1
1373,9,24,1
1374,9,25,1
1375,9,26,3
1376,9,27,1
1377,9,28,1
1378,9,29,1
1379,9,30,3
1380,9,31,3
1381,9,32,1
1382,9,33,1
1383,9,34,1
1384,9,35,3
1385,9,36,3
1386,9,37,1
1387,9,38,3
1388,9,39,3
1389,9,40,1
1390,9,41,1
1391,9,42,3
1392,9,43,3
1393,9,44,1
1394,9,45,1
1395,9,46,3
1396,9,47,1
1397,9,48,3
1398,9,49,1
1399,9,50,1
1400,9,51,2
1401,9,52,2
1402,9,53,2
1403,9,54,2
1404,9,55,2
1405,9,56,2
1406,9,57,2
1407,9,58,3
1408,9,59,2
1409,9,60,2
1410,9,61,3
1411,9,62,2
1412,9,63,2
1413,9,64,2
1414,9,65,2
1415,9,66,2
1416,9,67,2
1417,9,68,2
1418,9,69,2
1419,9,70,2
1420,9,71,2
1421,9,72,2
1422,9,73,2
1423,9,74,2
1424,9,75,2
1425,9,76,2
1426,9,77,2
1427,9,78,2
1428,9,79,2
1429,9,80,2
1430,9,81,2
1431,9,82,2
1432,9,83,2
1433,9,84,2
1434,9,85,2
1435,9,86,2
1436,9,87,2
1437,9,88,2
1438,9,89,2
1439,9,90,2
1440,9,91,2
1441,9,92,2
1442,9,93,2
1443,9,94,3
1444,9,95,2
1445,9,96,2
1446,9,97,2
1447,9,98,2
1448,9,99,3
1449,9,100,2
1450,9,101,2
1451,9,102,2
1452,9,103,2
1453,9,104,2
1454,9,105,2
1455,9,106,2
1456,9,107,2
1457,9,108,2
1458,9,109,2
1459,9,110,2
1460,9,111,2
1461,9,112,2
1462,9,113,2
1463,9,114,2
1464,9,115,2
1465,9,116,2
1466,9,117,2
1467,9,118,2
1468,9,119,2
1469,9,120,2
1470,9,121,2
1471,9,122,2
1472,9,123,2
1473,9,124,2
1474,9,125,2
1475,9,126,2
1476,9,127,2
1477,9,128,2
1478,9,129,2
1479,9,130,2
1480,9,131,2
1481,9,132,2
1482,9,133,2
1483,9,134,2
1484,9,135,2
1485,9,136,2
1486,9,137,2
1487,9,138,2
1488,9,139,2
1489,9,140,2
1490,9,141,2
1491,9,142,2
1492,9,143,2
1493,9,144,2
1494,9,145,2
1495,9,146,2
1496,9,147,2
1497,9,148,2
1498,9,149,2
1499,9,150,2
1500,10,1,1
1501,10,2,3
1502,10,3,3
1503,10,4,3
1504,10,5,1
1505,10,6,1
1506,10,7,3
1507,10,8,1
1508,10,9,3
1509,10,10,3
1510,10,11,1
1511,10,12,1
1512,10,13,3
1513,10,14,3
1514,10,15,1
1515,10,16,1
1516,10,17,1
1517,10,18,1
1518,10,19,1
1519,10,20,1
1520,10,21,1
1521,10,22,1
1522,10,23,1
1523,10,24,1
1524,10,25,1
1525,10,26,3
1526,10,27,1
1527,10,28,1
1528,10,29,1
1529,10,30,3
1530,10,31,3
1531,10,32,1
1532,10,33,1
1533,10,34,1
1534,10,35,3
1535,10,36,3
1536,10,37,1
1537,10,38,3
1538,10,39,3
1539,10,40,1
1540,10,41,1
1541,10,42,3
1542,10,43,3
1543,10,44,1
1544,10,45,1
1545,10,46,3
1546,10,47,1
1547,10,48,3
1548,10,49,1
1549,10,50,1
1550,10,51,2
1551,10,52,2
1552,10,53,2
1553,10,54,2
1554,10,55,2
1555,10,56,2
1556,10,57,2
1557,10,58,3
1558,10,59,2
1559,10,60,2
1560,10,61,3
1561,10,62,2
1562,10,63,2
1563,10,64,2
1564,10,65,2
1565,10,66,2
1566,10,67,2
1567,10,68,2
1568,10,69,2
1569,10,70,2
1570,10,71,2
1571,10,72,2
1572,10,73,2
1573,10,74,2
1574,10,75,2
1575,10,76,2
1576,10,77,2
1577,10,78,2
1578,10,79,2
1579,10,80,2
1580,10,81,2
1581,10,82,2
1582,10,83,2
1583,10,84,2
1584,10,85,2
1585,10,86,2
1586,10,87,2
1587,10,88,2
1588,10,89,2
1589,10,90,2
1590,10,91,2
1591,10,92,2
1592,10,93,2
1593,10,94,3
1594,10,95,2
1595,10,96,2
1596,10,97,2
1597,10,98,2
1598,10,99,3
1599,10,100,2
1600,10,101,2
1601,10,102,2
1602,10,103,2
1603,10,104,2
1604,10,105,2
1605,10,106,2
1606,10,107,2
1607,10,108,2
1608,10,109,2
1609,10,110,2
1610,10,111,2
1611,10,112,2
1612,10,113,2
1613,10,114,2
1614,10,115,2
1615,10,116,2
1616,10,117,2
1617,10,118,2
1618,10,119,2
1619,10,120,2
1620,10,121,2
1621,10,122,2
1622,10,123,2
1623,10,124,2
1624,10,125,2
1625,10,126,2
1626,10,127,2
1627,10,128,2
1628,10,129,2
1629,10,130,2
1630,10,131,2
1631,10,132,2
1632,10,133,2
1633,10,134,2
1634,10,135,2
1635,10,136,2
1636,10,137,2
1637,10,138,2
1638,10,139,2
1639,10,140,2
1640,10,141,2
1641,10,142,2
1642,10,143,2
1643,10,144,2
1644,10,145,2
1645,10,146,2
1646,10,147,2
1647,10,148,2
1648,10,149,2
1649,10,150,2
1650,11,1,1
1651,11,2,3
1652,11,3,3
1653,11,4,3
1654,11,5,1
1655,11,6,1
1656,11,7,3
1657,11,8,1
1658,11,9,3
1659,11,10,3
1660,11,11,1
1661,11,12,1
1662,11,13,3
