param NumberOfClusters := 4 ;
param NumberOfPoints := 150 ;
param NumberOfDimensions := 6 ;
param Point :=
31 4 27192005.67054453
31 5 59173900.91867511
31 6 61992226.29249127
32 1 46646181.75874048
32 2 38176365.014577284
32 3 56244591.85200685
32 4 77216122.858867
32 5 26257870.469617438
32 6 48541168.33537006
33 1 28545963.66086684
33 2 26256826.253755387
33 3 49259307.23655517
33 4 54734217.67845559
33 5 37908525.482492544
33 6 31433012.714901507
34 1 52496130.15496136
34 2 40672147.556905866
34 3 47987271.14243356
34 4 16792572.949509807
34 5 90055984.58103624
34 6 43983692.785480216
35 1 1781390.4383068315
35 2 90037544.3075625
35 3 80927637.09011799
35 4 63328743.53662103
35 5 52310805.18240266
35 6 73866796.1540597
36 1 80297134.95706555
36 2 43917353.924623445
36 3 20637871.434151635
36 4 37610748.35265599
36 5 19379608.642824434
36 6 49683475.36459984
37 1 68856692.91643554
37 2 16812089.38872037
37 3 53513351.09901805
37 4 47209137.57593295
37 5 75072913.67198798
37 6 84443110.31215274
38 1 75144750.64849307
38 2 68338928.88772795
38 3 28375126.024942517
38 4 27547708.156221416
38 5 13246873.728532465
38 6 62303599.003485724
39 1 25924274.9083708
39 2 65794694.996963084
39 3 8609360.078245781
39 4 2240266.4833709276
39 5 41778460.78917103
39 6 13893659.02579192
40 1 44539356.79381772
40 2 1389647.2804214028
40 3 49443444.602900155
40 4 70325837.22548832
40 5 56323917.89720198
40 6 84192378.2965218
41 1 19221628.0877354
41 2 89894909.26755705
41 3 41458299.95145918
41 4 41662615.449655466
41 5 64613694.08878969
41 6 59503722.660755314
42 1 10073879.925120674
42 2 18874203.74421613
42 3 4485593.328382809
42 4 15324474.987100223
42 5 38818908.973774396
42 6 60502825.99054873
43 1 17777763.012594126
43 2 68309592.09879036
43 3 36990932.883088395
43 4 85146050.60170539
43 5 72301165.13833234
43 6 2747028.7472234583
44 1 47228350.378031775
44 2 55663991.66973559
44 3 10331638.553642
44 4 75755433.32635123
44 5 19311464.05700187
44 6 68116847.6114686
45 1 27125383.100239947
45 2 67493404.88878459
45 3 20264150.93229907
45 4 32601251.172213145
45 5 89544049.63955608
45 6 49477015.11286479
46 1 79095790.62699588
46 2 31536479.056448184
46 3 73764703.29482667
46 4 16674218.528606595
46 5 18033269.748385347
46 6 32451443.932763506
47 1 16071285.132968547
47 2 7297508.780427784
47 3 54970521.351308644
47 4 3595505.623704016
47 5 26314902.684451155
47 6 79449715.28520954
48 1 37664075.10739225
48 2 80349009.38666293
48 3 13228363.70087446
48 4 71542414.04379913
48 5 20197279.665988896
48 6 21376046.401863664
49 1 61307408.517407686
49 2 24878461.950953238
49 3 75238444.7588372
49 4 81970906.07474776
49 5 91424467.21431696
49 6 45118336.170025885
50 1 51549308.975684814
50 2 47708579.479509115
50 3 14114206.581274267
50 4 73133335.80838081
50 5 62949011.454522125
50 6 80920552.53591232
51 1 30451106.715460297
51 2 63473495.534447774
51 3 88248410.92531829
51 4 24375250.12682919
51 5 20805269.99512225
51 6 44575635.03062283
52 1 8159372.894555273
52 2 36440332.61457796
52 3 70687023.76782587
52 4 25385596.973584827
52 5 20453670.69277033
52 6 38635091.22808035
53 1 13894120.840927089
53 2 78969931.04643688
53 3 59688357.75246594
53 4 60947923.319938526
53 5 2172025.712357547
53 6 42505253.44687454
54 1 60616668.24677611
54 2 38897228.62999394
54 3 44982156.672015555
54 4 87298003.77425456
54 5 84439485.53844729
54 6 84858127.6829109
55 1 55661437.21705305
55 2 71411986.9893909
55 3 70733184.91877426
55 4 48571420.86118704
55 5 37523354.87852915
55 6 33616702.037463926
56 1 15927405.05026276
56 2 29358824.37567914
56 3 65508175.621934935
56 4 13715283.278962003
56 5 46689168.040668115
56 6 63463346.441935636
57 1 4870607.131802567
57 2 81012477.25735193
57 3 85343275.49593818
57 4 46720658.88741707
57 5 69181563.49451908
57 6 33549698.20602519
58 1 46070620.87825547
58 2 34211683.39336328
58 3 45966379.60376614
58 4 42090068.296898305
58 5 2337045.601107942
58 6 18975197.19247999
59 1 84218858.5940697
59 2 63484685.816228844
59 3 91956963.79167867
59 4 71620101.98454545
59 5 38683503.50973762
59 6 20176688.253007576
60 1 6326787.220680396
60 2 17308483.055652212
60 3 56823210.88574343
60 4 76727366.62887478
60 5 34257801.783028014
60 6 88147170.73616387
61 1 56012364.583800465
61 2 13810196.068977354
61 3 3455754.8048771503
61 4 45981956.65846599
61 5 23334068.380442098
61 6 69191540.79658589
62 1 65068394.78020879
62 2 42182311.90505159
62 3 37476472.41617517
62 4 52765167.07778849
62 5 10905330.194659874
62 6 75123645.92617421
63 1 22161112.05072203
63 2 58767434.50704619
63 3 22154743.26158406
63 4 67214430.96514663
63 5 83135309.20450678
63 6 27881909.164706502
64 1 26433175.88328741
64 2 57945946.37698627
64 3 69983968.20307341
64 4 81542253.1130327
64 5 55911834.7142406
64 6 36047808.25293178
65 1 13747939.356569868
65 2 47843623.97549181
65 3 12342512.932378745
65 4 25921292.825594578
65 5 3963183.4763518656
65 6 71181021.23376058
66 1 69765587.0880538
66 2 275361.9778633174
66 3 15385538.245134115
66 4 74195553.91183716
66 5 69460799.24631768
66 6 47916405.6522358
67 1 79244256.17218281
67 2 37426590.42837732
67 3 60360142.77329511
67 4 44284182.19512189
67 5 69594762.57757047
67 6 84081366.19466196
68 1 87287755.07444698
68 2 42401490.9460457
68 3 85693141.10747772
68 4 70208532.68865444
68 5 32557284.67876041
68 6 51242111.363943234
69 1 2569569.7630039146
69 2 48641313.365931295
69 3 11954569.987805195
69 4 81527640.73832208
69 5 90572969.79825495
69 6 34481112.96887014
70 1 11833039.584855082
70 2 26922509.174331974
70 3 79295166.08902991
70 4 76181912.68758252
70 5 5836805.84503848
70 6 66918658.69206454
71 1 82606241.43106815
71 2 77956938.42242256
71 3 9294609.917543339
71 4 62413696.88119185
71 5 74039782.06226136
71 6 77571257.09276
72 1 59800993.223826125
72 2 70985031.22150384
72 3 88593211.17380816
72 4 88230152.29650012
72 5 85243971.55997004
72 6 40120181.517677955
73 1 71531865.79832675
73 2 80375078.40897018
73 3 84237369.65635121
73 4 47751969.377943546
73 5 30257971.917513646
73 6 34970724.78285918
74 1 69498803.98124787
74 2 17772079.015149016
74 3 29986162.2113851
74 4 7585431.520000286
74 5 83201621.4589358
74 6 48701392.06294326
75 1 43968373.54290691
75 2 20872935.160495434
75 3 9641057.52891585
75 4 9385153.81865815
75 5 53614809.026189186
75 6 67089452.364311546
76 1 74000400.63620734
76 2 53213471.549501605
76 3 23328636.375638388
76 4 57035998.388347596
76 5 53375438.914447084
76 6 15216176.065413335
77 1 40048046.159243174
77 2 29991346.897653718
77 3 70634487.37360488
77 4 37186760.759249546
77 5 18276044.802440982
77 6 44562564.401706934
78 1 13691513.494807383
78 2 38936002.80567898
78 3 80989557.61083764
78 4 50196518.012847714
78 5 56559995.8689787
78 6 12539029.863527536
79 1 72614840.02955274
79 2 76541861.45377673
79 3 58585837.76637807
79 4 50252810.201390065
79 5 42587672.69539351
79 6 31625075.363292657
80 1 26149086.477971233
80 2 84655501.82568611
80 3 59301116.22901706
80 4 20819569.67113799
80 5 53049288.47242251
80 6 92062459.05471133
81 1 21092629.489726383
81 2 21074913.731736626
81 3 42389194.32293995
81 4 104388.83390831512
81 5 44267972.443848915
81 6 67168433.20299931
82 1 44133750.82599817
82 2 20337629.67668207
82 3 45313984.66534072
82 4 58481287.776532374
82 5 63561307.788157076
82 6 45661243.03185734
83 1 42920317.21192045
83 2 12916743.389543397
83 3 40460093.05325392
83 4 79833883.61999257
83 5 78509753.59500884
83 6 43841504.98982459
84 1 44203672.15355878
84 2 58525730.83867067
84 3 64734227.30478669
84 4 44767120.3586177
84 5 19477980.430916153
84 6 55478786.9099873
85 1 12063452.633822847
85 2 68891919.76458663
85 3 47758657.00890568
85 4 11213314.07257416
85 5 85625990.48021024
85 6 8482910.956622744
86 1 26924062.5268209
86 2 41639525.67434029
86 3 80114848.88901044
86 4 25258206.34498567
86 5 43537501.97877052
86 6 34109965.30676782
87 1 4225861.8720999
87 2 31161630.698636837
87 3 72688440.11208197
87 4 39196783.57672222
87 5 896169.0062788128
87 6 3237859.8684419394
88 1 68532186.55919194
88 2 28811470.637397345
88 3 54443007.40737649
88 4 75789002.09990317
88 5 67338739.11249153
88 6 30379013.262116574
89 1 10255117.275715811
89 2 42448363.70454617
89 3 65092382.935667835
89 4 39655464.27173753
89 5 71991747.54818432
89 6 47276085.01410362
90 1 45151502.23337596
90 2 81291921.49300565
90 3 65129506.4490978
90 4 1774108.5534495644
90 5 85929067.94854528
90 6 24777368.52526548
91 1 82667086.9897645
91 2 30949054.84253269
91 3 68161595.99822536
91 4 82382478.61985315
91 5 39465463.186709344
91 6 546818.311795786
92 1 68564364.83100764
92 2 16018560.567659432
92 3 33347055.79806305
92 4 86452381.01336004
92 5 2236305.5857197135
92 6 63998285.94524419
93 1 78833078.9374069
93 2 76677302.44598654
93 3 5638707.561335184
93 4 40345087.27761446
93 5 11216625.175075904
93 6 90189783.27610505
94 1 46786344.88070701
94 2 63476172.35578262
94 3 42365518.28773366
94 4 61789942.641362056
94 5 68256344.54342951
94 6 13141320.445163634
95 1 41252165.33267415
95 2 57854544.62471996
95 3 25694370.992413666
95 4 11957488.736605983
95 5 36571179.60976665
95 6 83232784.86708605
96 1 27347137.79721155
96 2 82726791.48428214
96 3 90325578.40555379
96 4 85419355.74911146
96 5 44821891.414865404
96 6 9787820.720549237
97 1 86104302.47309291
97 2 42607539.28022251
97 3 85013585.19225629
97 4 90663079.66162685
97 5 76587449.96180499
97 6 56996836.23346572
98 1 6142877.63604129
98 2 69424688.68065792
98 3 11113392.659891397
98 4 59052595.39395008
98 5 22273820.605838083
98 6 14235863.946570871
99 1 76189491.76341444
99 2 25533085.198571768
99 3 30854306.960454237
99 4 24117023.43185628
99 5 39125064.72067802
99 6 30534449.156786703
100 1 8160607.940467399
100 2 44789104.00811957
100 3 22984762.771115664
100 4 64146351.04354977
100 5 23485736.76124401
100 6 46592091.515888534
101 1 85916159.15255764
101 2 81167131.85657468
101 3 60182824.88145744
101 4 65042518.113808475
101 5 33322087.26182583
101 6 46141443.740512736
102 1 58589655.61661362
102 2 27757247.07968487
102 3 50247256.04414444
102 4 10169177.861101866
102 5 45162900.77233933
102 6 65683020.74238878
103 1 11471918.033966962
103 2 86874206.47544649
103 3 24415710.061462454
103 4 17627236.718099914
103 5 17214172.836539634
103 6 63200204.68217357
104 1 86547286.56677762
104 2 43227951.17881714
104 3 25251934.73701574
104 4 32409419.55456117
104 5 63714732.07612529
104 6 53393955.50228231
105 1 37725595.9100888
105 2 89274723.76904276
105 3 85776411.07242239
105 4 1551427.3828838356
105 5 75582757.45779003
105 6 72998281.84718984
106 1 11398697.681615654
106 2 50295255.59748034
106 3 18364890.917875025
106 4 68500415.62907319
106 5 70892225.19136657
106 6 87849085.22975597
107 1 66317573.30545829
107 2 37989132.96800627
107 3 88567413.76856713
107 4 59093459.20856977
107 5 7460205.028613348
107 6 85783832.83159696
108 1 25462056.26878129
108 2 59613588.04128154
108 3 26076799.9100785
108 4 46003325.60069914
108 5 41223952.69728893
108 6 80208228.20742199
109 1 12066069.34826059
109 2 86546056.27289975
109 3 54469145.916052274
109 4 89115636.99447805
109 5 71771351.16586506
109 6 13441078.52353969
110 1 36815955.58347062
110 2 17171618.301311765
110 3 69469602.54091258
110 4 38046443.8567508
110 5 4035939.3642147887
110 6 20379304.49687118
111 1 66113473.871076174
111 2 87046863.29402207
111 3 28419492.83685457
111 4 51828136.30664209
111 5 47343387.06419581
111 6 89164905.41546816
112 1 325308.0570798375
112 2 79550440.03716122
112 3 81722834.922875
112 4 8558810.836388143
112 5 26552345.401316397
112 6 48748790.538850404
113 1 74182775.9881595
113 2 30985032.898411017
113 3 51481883.83115672
113 4 38469455.20884147
113 5 80803070.2323789
113 6 26121433.246974677
114 1 31390466.814948928
114 2 43382456.307814784
114 3 91055005.04830867
114 4 88313625.88601957
114 5 54074483.43206265
114 6 14649550.151323782
115 1 55484985.21660765
115 2 26985717.521711893
115 3 29737494.537701827
115 4 73865346.05586766
115 5 61281841.31540229
115 6 30103217.707317263
116 1 28767441.762184717
116 2 18222372.169345874
116 3 19270020.77323495
116 4 80030996.61423759
116 5 47152497.9392034
116 6 25916819.98098615
117 1 3711216.136997267
117 2 27791583.195725027
117 3 91935135.87490816
117 4 24972576.980219442
117 5 45226651.844959155
117 6 1211186.347781773
118 1 41302831.0551719
118 2 11188804.17016002
118 3 66754061.30781286
118 4 27398422.972187866
118 5 32525309.79563162
118 6 11202901.64629227
119 1 15279326.474623065
119 2 53591226.80421196
119 3 46028796.05690104
119 4 9625937.93076161
119 5 67916455.65720208
119 6 35325920.79501234
120 1 68674051.69297387
120 2 86224203.07578571
120 3 24415534.56467484
120 4 23937243.57837153
120 5 16894607.84599839
120 6 67491966.71121442
121 1 45050151.0203442
121 2 70885297.15828665
121 3 15885646.195777604
121 4 32659238.052186977
121 5 59510351.63136762
121 6 7398725.146750326
122 1 85615263.21950606
122 2 23964493.93776808
122 3 34589719.316220075
122 4 6106030.147007044
122 5 90891437.28873293
122 6 67856435.0148883
123 1 14745579.688508455
123 2 43092637.536252655
123 3 33765985.99229561
123 4 58519254.77885959
123 5 6912437.57811056
123 6 39984775.32271709
124 1 35009390.45870089
124 2 74186930.01914763
124 3 63728501.313543655
124 4 72745271.33286989
124 5 45095647.000246
124 6 4678201.906134794
125 1 815704.2992983843
125 2 49866488.79746897
125 3 76554165.20362416
125 4 44593368.80505426
125 5 20516204.87269732
125 6 3914865.1045535994
126 1 90451151.57915212
126 2 18603421.75256428
126 3 62568087.10076121
126 4 69094333.13042866
126 5 9582422.95365814
126 6 8929037.598861245
127 1 38635591.52394286
127 2 43637542.63639588
127 3 23659421.208795935
127 4 86959233.12334299
127 5 68057153.53506738
127 6 26914147.01218046
128 1 14341199.2750668
128 2 32029610.691240907
128 3 13411734.62200348
128 4 75099623.31165072
128 5 33366632.45301258
128 6 7962674.766002585
129 1 34411776.617614545
129 2 23832937.091101836
129 3 54835142.7864246
129 4 56302943.880807936
129 5 90823770.23290098
129 6 75226257.02789609
130 1 73532012.12097272
130 2 65466510.842651136
130 3 13602416.801733155
130 4 28208523.160954632
130 5 52375457.51518359
130 6 22250470.59967522
131 1 83219517.1850951
131 2 72343259.65868166
131 3 6599234.136879565
131 4 90062289.69529161
131 5 86492807.09964019
131 6 56822383.804837145
132 1 33558438.045898356
132 2 91249700.86109786
132 3 6931636.758044401
132 4 42199834.37475556
132 5 26004330.985730406
132 6 38361560.44678396
133 1 90808137.97760306
133 2 27128091.861975137
133 3 37063139.30149951
133 4 21156096.281614535
133 5 18580371.272649124
133 6 2005928.6081477872
134 1 3462653.4931569896
134 2 45193227.74941295
134 3 6858831.850428315
134 4 40081265.82055225
134 5 82150649.72100833
134 6 43277736.77866062
135 1 85290284.13691987
135 2 12522900.236107418
135 3 1980287.6682642822
135 4 67775411.49292767
135 5 78005446.57579269
135 6 88466164.03762302
136 1 40719189.35094026
136 2 26512886.43631658
136 3 85520845.18350187
136 4 58497.93626482914
136 5 89234600.38653259
136 6 62060989.421645194
137 1 17602740.819334846
137 2 6984034.061286137
137 3 12788319.859587526
137 4 87548012.38025485
137 5 48928666.070053525
137 6 5306291.627500695
138 1 6212186.941051379
138 2 16664247.112840703
138 3 31558573.57957354
138 4 53885640.99268823
138 5 24682650.261494547
138 6 67508884.67017084
139 1 29092036.698952597
139 2 29711300.60050087
139 3 81100016.47036694
139 4 90244006.30504821
139 5 61070598.23593859
139 6 67209580.45812866
140 1 74560974.60279298
140 2 21397623.0023804
140 3 55770431.38344299
140 4 83358962.21067682
140 5 52524787.950710066
140 6 43280867.68841986
141 1 26416079.365656428
141 2 50106409.915546164
141 3 1366092.7962663316
141 4 90001835.02097617
141 5 38312433.46415305
141 6 86216100.7169784
142 1 82841717.08439478
142 2 5922502.263576935
142 3 14449098.747767596
142 4 75220032.08818012
142 5 78668226.64027461
142 6 68575200.5674821
143 1 84992067.49734016
143 2 9942257.388172306
143 3 63772471.60442725
143 4 89595276.24078947
143 5 86548511.63373448
143 6 66471226.36979821
144 1 87654341.61533362
144 2 48768043.05355756
144 3 45723771.712191865
144 4 47162540.81476203
144 5 10754066.79675796
144 6 82936408.45577873
145 1 51843836.28917369
145 2 71216388.6449482
145 3 47135683.572644345
145 4 44944503.52132552
145 5 58495003.19705842
145 6 824125.1263643332
146 1 20789194.695238348
146 2 81828320.78881535
146 3 46579340.04108074
146 4 26265108.445013795
146 5 21128586.62537168
146 6 31500948.98589427
147 1 41617421.51662257
147 2 87186558.71893652
147 3 2179939.6450914056
147 4 49820460.789878964
147 5 33776801.14457853
147 6 17486118.62260088
148 1 5336553.169695788
148 2 55278305.97056157
148 3 26106975.764920693
148 4 20189304.450185288
148 5 31243622.847455848
148 6 19338696.73879239
149 1 57184313.28861527
149 2 40674018.655552626
149 3 22913202.207169395
149 4 2019576.6957736718
149 5 70119798.49938294
149 6 3359759.055403041
150 1 22756273.059983935
150 2 72198674.27749142
150 3 6291063.023137947
150 4 21589980.101715297
150 5 27002451.07970124
150 6 1043878.3343485121;
