param NumberOfDimensions := 2;
param NumberOfPoints := 300;
param NumberOfClusters:= 3;
45 2 8.792829846324565
46 1 -0.4854166721104539
46 2 8.403411531355493
47 1 -0.2360588211039859
47 2 8.96427074725342
48 1 -1.8863554267984428
48 2 8.325241005628008
49 1 1.203268565355386
49 2 9.302647877811468
50 1 -1.5299179608997313
50 2 7.77380776882058
51 1 0.34590524128861766
51 2 8.516382122328803
52 1 1.592110028300183
52 2 8.805119160283235
53 1 -0.015123594693822406
53 2 8.146388757907092
54 1 -1.1250146225005686
54 2 8.536396240958828
55 1 0.02527467094314184
55 2 8.65380867595439
56 1 0.8022605576978359
56 2 8.344815713810412
57 1 0.753168525220133
57 2 8.65292644014101
58 1 -0.7190001294163324
58 2 9.269214259342595
59 1 -1.0070939333499167
59 2 9.33855123922712
60 1 0.01146008384894831
60 2 9.053464197801288
61 1 -2.0789325613569174
61 2 8.94885869701601
62 1 -0.48735798124133184
62 2 9.464060303416685
63 1 1.4385735270214128
63 2 8.08540283134306
64 1 -1.1159929190658957
64 2 7.906126936529638
65 1 -0.7748876928544001
65 2 8.66774554453132
66 1 0.568239868996635
66 2 8.259789123157109
67 1 -0.3272708730137482
67 2 9.576013754417538
68 1 -1.4376634392473262
68 2 8.527452767552797
69 1 -1.64756529356958
69 2 8.40942537046205
70 1 -2.033455728917957
70 2 6.309936411916945
71 1 -0.07408556944037795
71 2 8.776010043993061
72 1 0.3703104972614558
72 2 9.78394517465951
73 1 -0.7452822751799427
73 2 8.451175398160466
74 1 -1.4524928925269425
74 2 6.646416480686923
75 1 -0.24431898014122982
75 2 9.68691538671527
76 1 -0.11815442257053937
76 2 7.72776075391972
77 1 0.36162728809414624
77 2 8.359282825104083
78 1 0.525251215124567
78 2 8.489475766250449
79 1 -0.2787672920895775
79 2 7.107215282829625
80 1 -0.10345528976871432
80 2 9.814589974950486
81 1 -0.7473779094066014
81 2 8.151116661955339
82 1 -1.677641388250581
82 2 7.836562566008572
83 1 0.4231526101722942
83 2 7.69221983993725
84 1 -0.5569146748143404
84 2 8.153243174626297
85 1 0.9384576507478668
85 2 10.569071360497272
86 1 -1.1317327985720766
86 2 8.599361735009051
87 1 -0.3674658145226799
87 2 8.35392190248969
88 1 -1.1462414069981346
88 2 10.953559030898738
89 1 0.05668435532322891
89 2 9.034585611481386
90 1 1.4168092815132107
90 2 8.860354958940999
91 1 -0.6319642702016831
91 2 9.060632319595967
92 1 -1.5766231366934393
92 2 8.016931994334058
93 1 -1.1979893741706822
93 2 9.58712672778608
94 1 -1.298907140132923
94 2 8.835268799142025
95 1 -0.10912089523684534
95 2 8.18606463533873
96 1 0.8219406272404983
96 2 6.76381400829184
97 1 0.7654579489611506
97 2 9.64530964916206
98 1 0.4589728151878105
98 2 8.063064606595768
99 1 -0.34733080935322413
99 2 8.881085467637694
100 1 0.6341344612864641
100 2 6.8141415237128955
101 1 -8.97533219972526
101 2 7.177226148674112
102 1 -9.45188013349384
102 2 6.5654286589099895
103 1 -8.634295796231223
103 2 6.919109683567336
104 1 -9.536120186648018
104 2 7.12894711221706
105 1 -9.105154756680637
105 2 6.621883675668149
106 1 -9.734703093698153
106 2 7.256740367962028
107 1 -11.640329828899322
107 2 5.967022292016062
108 1 -10.813620566763987
108 2 5.867470681964729
109 1 -8.170985216744114
109 2 6.152960888309908
110 1 -9.193075393107671
110 2 7.18544955022679
111 1 -10.238699440137266
111 2 6.54884388051015
112 1 -7.945222915102355
112 2 9.093204976520362
113 1 -8.660362442323796
113 2 5.24409318942401
114 1 -8.392778055480102
114 2 6.298373334902997
115 1 -8.835480253704095
115 2 7.430036678584995
116 1 -7.628901915098102
116 2 7.717498892489694
117 1 -7.171927194682059
117 2 8.323455449244378
118 1 -9.614788574096734
118 2 6.741227453908151
119 1 -9.362810157270848
119 2 8.640611277137932
120 1 -10.83046762122896
120 2 8.024787992649074
121 1 -10.152197369727748
121 2 8.225271732514361
122 1 -11.001526698882532
122 2 8.572282660109023
123 1 -8.818387836696374
123 2 7.235418959150842
124 1 -8.428940061749968
124 2 7.346878728643582
125 1 -6.849855269134547
125 2 5.055142208270636
126 1 -6.83782403950392
126 2 8.1236467654587
127 1 -7.289484670339804
127 2 5.181159067949469
128 1 -8.82811529127029
128 2 6.3787668002038656
129 1 -7.9788406041987265
129 2 6.528332011368621
130 1 -7.6490295178296694
130 2 8.04128205840652
131 1 -9.89059011724061
131 2 7.209489973711421
132 1 -7.762783859328045
132 2 7.760430455526256
133 1 -8.843892583851122
133 2 6.498790136179315
134 1 -9.987176395293002
134 2 8.162706020628248
135 1 -10.724629064615776
135 2 7.0585207760953494
136 1 -8.142090401955802
136 2 6.003681887502497
137 1 -11.122670214524675
137 2 7.2794811247431035
138 1 -8.634318569566162
138 2 8.469369800353084
139 1 -8.524730916062438
139 2 7.693935866408864
140 1 -9.364822966933984
140 2 7.454218701242083
141 1 -7.886176340862486
141 2 6.104170531896267
142 1 -8.56318675975721
142 2 6.613300952678073
143 1 -7.935925214714468
143 2 6.323639479451158
144 1 -7.622079029140491
144 2 7.9127064940264304
145 1 -11.067763237578053
145 2 7.871913276877236
146 1 -9.12785276608699
146 2 7.2744938217691155
147 1 -8.383092800986756
147 2 6.701516023392875
148 1 -9.861349538425264
148 2 6.022186007440276
149 1 -8.344731970443492
149 2 7.026135742932471
150 1 -8.073293426524593
150 2 6.795344694860949
151 1 -8.042940668543197
151 2 6.872366342547467
152 1 -9.298792339199736
152 2 6.463737391725975
153 1 -9.000866009098656
153 2 7.820678738300858
154 1 -10.837209103192404
154 2 6.201658292157584
155 1 -9.689147056507398
155 2 6.991562371350808
156 1 -8.004138966065476
156 2 6.489060676592742
157 1 -9.436645113633126
157 2 6.993864961241567
158 1 -9.6054318198148
158 2 8.661495520602083
159 1 -10.551526322374047
159 2 6.567969898280455
160 1 -8.512405875028685
160 2 7.0509761165729765
161 1 -9.160106755606265
161 2 7.115528172306373
162 1 -6.996819605329048
162 2 6.653572822759579
163 1 -8.40322649586725
163 2 6.304649960722027
164 1 -7.123086865291723
164 2 6.653253011398882
165 1 -10.176766702842995
165 2 6.139185379359976
166 1 -9.816085620256864
166 2 7.105434209857191
167 1 -9.315218681796413
167 2 5.392801028235021
168 1 -9.085203840004821
168 2 7.038112105476415
169 1 -8.62811847277602
169 2 8.477208668038177
170 1 -10.125061923855377
170 2 4.944542628320088
171 1 -8.937505949941578
171 2 6.51160770116055
172 1 -10.301232495147065
172 2 6.852494402086493
173 1 -8.874055355979216
173 2 8.058651374248894
174 1 -8.329565135920411
174 2 5.905725305652277
175 1 -9.699444201441848
175 2 7.51498686736811
176 1 -7.7965343512001475
176 2 6.287412324864641
177 1 -9.024582987808962
177 2 7.108314421056092
178 1 -9.685697192776784
178 2 7.101216704448552
179 1 -7.701976549196429
179 2 6.768104831159028
180 1 -11.070861659049292
180 2 8.028638460460284
181 1 -7.868342580593353
181 2 5.399923643465627
182 1 -8.867305042799492
182 2 5.398850017850609
183 1 -8.62158086451265
183 2 6.9764998616344265
184 1 -8.720315405094716
184 2 5.916407200270347
185 1 -10.285013869373927
185 2 4.467587817909065
186 1 -8.603827096865743
186 2 7.860876516977324
187 1 -7.9788844478898255
187 2 6.149382246796212
188 1 -11.105390434239814
188 2 6.665058124876906
189 1 -7.650943366374929
189 2 4.588209323982856
190 1 -7.070193489940034
190 2 6.24201358417084
191 1 -10.134682111791742
191 2 6.608764787837844
192 1 -8.83192167230508
192 2 6.333708068732186
193 1 -10.263753303387773
193 2 7.476072189244027
194 1 -7.962422201169399
194 2 6.521574281601515
195 1 -9.45528233403106
195 2 7.7909039800649005
196 1 -8.329058019742213
196 2 5.921742454845005
197 1 -8.799424671399668
197 2 8.655327652901672
198 1 -7.453058585954969
198 2 7.299750076751081
199 1 -9.242202267330851
199 2 6.16609264629021
200 1 -10.069883611606912
200 2 8.006707999804265
201 1 -5.700010688242731
201 2 0.64701392804527
202 1 -3.8497746755759703
202 2 1.8717034650203113
203 1 -3.944419107571483
203 2 1.5471127197810386
204 1 -5.765011837287121
204 2 1.407438725510565
205 1 -5.081761208390763
205 2 4.048479602325657
206 1 -6.196187058528177
206 2 -0.8452234626734239
207 1 -4.384920911412148
207 2 2.323980631684089
208 1 -3.264726546507283
208 2 3.913947595406812
209 1 -3.3982421987062432
209 2 2.3915075350039032
210 1 -4.097084707401745
210 2 2.8287051784751904
211 1 -2.6675043718897786
211 2 0.6092844399758397
212 1 -3.5883707800329288
212 2 3.2348711826307177
213 1 -4.097749176145948
213 2 1.0231666454646577
214 1 -4.759930355877133
214 2 1.753608245985526
215 1 -2.939247872185118
215 2 2.82771204864568
216 1 -4.309627745923775
216 2 2.0561194312570947
217 1 -3.888921945756574
217 2 2.924532352165172
218 1 -3.86322818972048
218 2 2.670344659541265
219 1 -4.550939025071374
219 2 2.7375498119243518
220 1 -3.7546806581469623
220 2 1.8810599069144245
221 1 -3.01566637766153
221 2 2.3346946017035486
222 1 -3.708743840342347
222 2 2.203549241867311
223 1 -4.841229069915484
223 2 3.14072940651021
224 1 -3.4407282447020955
224 2 2.8170658192320253
225 1 -4.470487485196666
225 2 2.0163635580867303
226 1 -3.0905056927538594
226 2 3.177962207807005
227 1 -3.936473367778131
227 2 3.395173001552846
228 1 -3.5130278225985934
228 2 3.146275851225722
229 1 -3.4032051207952287
229 2 1.851884118181334
230 1 -3.3903325901602703
230 2 1.6948233223205165
231 1 -4.461071877023968
231 2 4.085769974505322
232 1 -4.475738546738362
232 2 1.84313692603053
233 1 -3.7325268124263307
233 2 1.6243409558064592
234 1 -4.054912236130033
234 2 1.4154387424373633
235 1 -5.259874418817872
235 2 3.470854939371679
236 1 -3.011842041222226
236 2 3.0971484208631628
237 1 -3.876737649389539
237 2 2.5624820918807107
238 1 -3.387760195920851
238 2 2.2057058570418375
239 1 -3.1925202797561045
239 2 2.242425608653885
240 1 -1.6385868353433004
240 2 2.0960896959719637
241 1 -6.056166749649734
241 2 3.07766448422984
242 1 -3.0731072466636027
242 2 1.5501621281353324
243 1 -3.8646947468877033
243 2 2.39734726586247
244 1 -3.083660102344767
244 2 3.206836425469674
245 1 -3.981651786642029
245 2 1.652607608053569
246 1 -7.148684266357154
246 2 1.8871631014505321
247 1 -4.365578634943225
247 2 2.4095018522159624
248 1 -4.153190283243461
248 2 1.7949250797108125
249 1 -3.6811282529568325
249 2 0.41988092468013183
250 1 -5.157893388155737
250 2 2.181137361592651
251 1 -4.785094058768213
251 2 2.6039927264459246
252 1 -5.0592033023896565
252 2 2.169525961139678
253 1 -3.569452959192867
253 2 3.49041596546369
254 1 -4.82863037679721
254 2 1.2690847717484215
255 1 -3.707701393693938
255 2 2.1826440392734265
256 1 -4.021777354176089
256 2 2.0577491915380426
257 1 -3.642033831085304
257 2 0.32534565292310935
258 1 -3.310238415773562
258 2 3.232263903307163
259 1 -3.730809684771833
259 2 2.0987976777140487
260 1 -4.201078014008638
260 2 2.774181686867179
261 1 -3.658153734457412
261 2 3.3412794466086635
262 1 -4.418531545822813
262 2 1.428115097557256
263 1 -4.263340549242465
263 2 1.774929965964795
264 1 -3.7353775764479473
264 2 2.4763975415391846
265 1 -4.927097749402558
265 2 1.9728711033483333
266 1 -3.7507325314218463
266 2 3.1535049141330496
267 1 -4.244302136717999
267 2 2.0287317144225625
268 1 -4.548050199699824
268 2 2.320701672548821
269 1 -3.8523343991921495
269 2 3.4311108466626044
270 1 -5.13102892944753
270 2 2.5387733983851133
271 1 -5.859115579323555
271 2 3.6381328559837103
272 1 -4.590699454040584
272 2 3.7078742621967278
273 1 -4.509426457660127
273 2 0.8694590102771789
274 1 -4.212148601641213
274 2 1.7655803377770134
275 1 -3.7985981725395908
275 2 3.0636375437511703
276 1 -3.245308922581231
276 2 3.3909629494193583
277 1 -4.1623953685100625
277 2 0.9949899420935782
278 1 -4.3949761038714055
278 2 2.1333492229766406
279 1 -3.0729417927923817
279 2 2.2715367443219203
280 1 -5.195779641577714
280 2 1.2444731644287945
281 1 -5.3461789737123135
281 2 2.6708776401255254
282 1 -5.076562578350896
282 2 2.8678426789916536
283 1 -1.9318328505656197
283 2 1.4985257474208624
284 1 -3.564750703080136
284 2 3.6833177919936304
285 1 -3.2178452674415734
285 2 0.7507676400975007
286 1 -5.0514089179314965
286 2 2.1191936612882785
287 1 -3.006576091265042
287 2 1.0148649972315946
288 1 -4.259561030006546
288 2 0.5481664069814918
289 1 -4.0964677253671
289 2 1.555407679787096
290 1 -2.62267243676686
290 2 2.310458698187903
291 1 -4.0418892572541845
291 2 1.5693119967109515
292 1 -4.812682744986322
292 2 3.040051730841525
293 1 -4.511331045180562
293 2 1.7250302246379912
294 1 -5.21463075879189
294 2 3.6881973230660257
295 1 -3.709053991085845
295 2 -0.08899471643009971
296 1 -4.272120460596555
296 2 1.6651158184885704
297 1 -4.1145496168245135
297 2 2.220759599409966
298 1 -3.6321198168970525
298 2 1.5783321804258907
299 1 -3.6441670363706438
299 2 1.34246764131555
300 1 -4.828401211141612
300 2 3.230784025140489;
